subject_id,scenario_label,intimacy,motivation,action,p_action
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,0,0.94
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,1,0.02
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,2,0.02
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,3,0.02
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,0,0.59
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,1,0.39
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,2,0.01
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,3,0.01
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,0,0.59
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,1,0.33
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,2,0.05
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,3,0.03
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,0,0.26
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,1,0.41
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,2,0.16
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,3,0.17
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,0,0.48
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,1,0.36
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,2,0.14
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,3,0.02
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,0,0.56
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,1,0.4
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,2,0.03
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,3,0.01
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,0,0.42
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,1,0.29
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,2,0.2
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,3,0.09
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,0,0.57
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,1,0.38
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,2,0.04
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,3,0.01
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,0,0.22
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,1,0.46
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,2,0.28
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,3,0.04
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,0,0.45
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,1,0.22
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,2,0.22
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,3,0.11
00f163d0-f623-5456-b48c-e09b0d6c6fd5,hike,50,high,0,0.41
00f163d0-f623-5456-b48c-e09b0d6c6fd5,hike,50,high,1,0.56
00f163d0-f623-5456-b48c-e09b0d6c6fd5,hike,50,high,2,0.02
00f163d0-f623-5456-b48c-e09b0d6c6fd5,hike,50,high,3,0.01
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,0,0.43
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,1,0.53
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,2,0.02
00f163d0-f623-5456-b48c-e09b0d6c6fd5,oysters,50,high,3,0.02
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,0,0.76
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,1,0.22
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,2,0.01
00f163d0-f623-5456-b48c-e09b0d6c6fd5,social,0,low,3,0.01
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,0,0.39
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,1,0.55
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,2,0.03
00f163d0-f623-5456-b48c-e09b0d6c6fd5,soup,75,high,3,0.03
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,0,0.19
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,1,0.53
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,2,0.27
00f163d0-f623-5456-b48c-e09b0d6c6fd5,takeout,100,low,3,0.01
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,0,0.37
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,1,0.33
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,2,0.27
00f163d0-f623-5456-b48c-e09b0d6c6fd5,wedding,75,high,3,0.03
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,0,0.77
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,1,0.11
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,2,0.11
016d631b-870f-5249-8608-d9bc2e354682,apples,0,low,3,0.01
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,0,0.55
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,1,0.08
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,2,0.25
016d631b-870f-5249-8608-d9bc2e354682,basketball,75,low,3,0.12
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,0,0.64
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,1,0.32
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,2,0.04
016d631b-870f-5249-8608-d9bc2e354682,birthday,0,high,3,0.0
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,0,0.0
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,1,0.05
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,2,0.49
016d631b-870f-5249-8608-d9bc2e354682,brunch,100,high,3,0.46
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,0,0.0
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,1,0.33
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,2,0.19
016d631b-870f-5249-8608-d9bc2e354682,cooking,75,high,3,0.48
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,0,0.0
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,1,1.0
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,2,0.0
016d631b-870f-5249-8608-d9bc2e354682,dip,0,high,3,0.0
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,0,0.83
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,1,0.17
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,2,0.0
016d631b-870f-5249-8608-d9bc2e354682,drinks,0,low,3,0.0
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,0,0.07
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,1,0.88
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,2,0.02
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,3,0.03
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,0,0.0
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,1,0.44
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,2,0.36
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,3,0.2
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,0,0.0
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,1,0.0
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,2,0.63
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,3,0.37
