subject_id,gender,age,understood,comments,attention_passed,memory_correct_count
074d5764-525e-5178-99c4-1a8a5af8b304,female,35,yes,none,True,3
8d65519a-a5e3-501e-930f-7d6d1930cb7e,male,19,yes,NONE,True,3
e0a58e00-8cec-50b4-94e6-9f450326dbb4,male,31,yes,no,True,3
4c958531-a032-577c-a2d3-53354d55e561,female,48,yes,,True,3
0a2e453d-cc9b-5218-9eb6-888256ae9f7e,male,34,yes,,True,1
35b1d80c-0d05-5da0-be7e-080b02402b35,female,51,yes,no,True,1
7be11d90-f07d-51d7-abb3-f20f9e284cd9,female,58,yes,,True,3
a3406ee7-2e3b-5fb4-9b1f-63e52df65ded,female,47,yes,,True,3
c273a4a5-5b65-57cc-ac97-db9040f14853,female,38,yes,Thank you.,True,2
b465f790-54a6-5ec9-a1dd-7cd21a9268fb,female,25,yes,,True,2
3a12d823-1bdf-5a51-aa98-33ebe8d12781,female,53,yes,,True,3
2e294904-2c37-5dbf-9663-d331b54edaf5,female,23,yes,,True,3
b0d5fbaa-87fd-510e-b087-2a7fb525f853,male,64,yes,No,True,2
273d8798-e4ba-535d-b129-847729f22f4f,female,35,yes,,True,3
89d34446-4f6e-500f-8c7f-9a990a7a4c79,female,34,yes,,True,3
e4086f85-a41d-5c5b-aa81-8d18fc037bc8,,32,yes,,True,2
c745ff14-aa4d-5088-ac1c-c70e54acd5fc,female,42,yes,,True,3
553b0630-6e5d-576e-8d60-6fee4a34e393,nonconforming,34,yes,,True,3
d4ecce2a-1e46-58db-b545-98d8a88220fa,female,36,yes,,True,3
bd53c73f-24ce-545d-916e-1a0809ebf940,male,26,yes,,True,3
5de8bc3b-fa84-56f9-844f-73f66c5ae4d7,female,60,yes,none,True,2
037f965e-782e-54c2-94f1-31f683828300,female,29,yes,No,True,1
6fa2f573-8416-5fba-a503-01eae9a3924b,male,36,yes,,True,1
a3dde796-28e9-5114-af75-fd3d37b72ac6,female,31,yes,,True,3
fbd559bb-2d93-5005-abae-22119e84f8e5,male,27,yes,,True,3
