fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,param_gamma,test_cell_r
0,apples,full,2038.9185791015625,131.82720947265625,0.2954954462466033,0.28658089015794835,6900,460,1.0,0.8319268226623535,1.3492000102996826,0.005526622291654348,0.8283874988555908,0.887711995344832
0,apples,discomfort_only,2163.93017578125,146.30816650390625,0.31361306895380436,0.31806123153023097,6900,460,1.0,,1.304378628730774,,0.7007638812065125,0.5448780194137441
0,apples,base,2214.571044921875,137.5358123779297,0.3209523253509964,0.2989908964737602,6900,460,1.0,0.8174422383308411,,0.45332416892051697,,0.854583662744145
1,basketball,full,2033.9385986328125,136.7672882080078,0.2947737099467844,0.29732019175653873,6900,460,1.0,0.8380741477012634,1.3574604988098145,0.056897230446338654,0.8920368552207947,0.908025064198456
1,basketball,discomfort_only,2163.889404296875,145.8314971923828,0.31360716004302536,0.31702499389648436,6900,460,1.0,,1.3847486972808838,,0.8261880874633789,0.6536690437745282
1,basketball,base,2202.55859375,149.49705505371094,0.31921139039855073,0.3249935979428499,6900,460,1.0,0.8211976885795593,,0.4953742027282715,,0.6043886220043598
2,birthday,full,2025.663818359375,145.782958984375,0.29357446642889495,0.31691947605298915,6900,460,1.0,0.8643184900283813,1.3067479133605957,0.0970819890499115,0.863849401473999,0.6602715545169245
2,birthday,discomfort_only,2166.517333984375,143.6497344970703,0.31398801941802534,0.31228203151537026,6900,460,1.0,,1.2932738065719604,,0.7098888158798218,0.6739466836281885
2,birthday,base,2186.752685546875,165.91085815429688,0.3169206790647645,0.36067577859629757,6900,460,1.0,0.848476767539978,,0.5287491083145142,,0.1696907880600323
3,brunch,full,2021.0849609375,149.977783203125,0.2929108639039855,0.32603865913722824,6900,460,1.0,0.8387768268585205,1.3917003870010376,0.06709915399551392,0.8712992668151855,0.8247275734775832
3,brunch,discomfort_only,2152.29052734375,157.68307495117188,0.31192616338315216,0.3427892933721128,6900,460,1.0,,1.422550082206726,,0.8059596419334412,0.4976575309624244
